iter	Passed	Remaining
0	3	3123
1	6	3152
2	9	3202
3	13	3275
4	16	3359
5	19	3248
6	22	3213
7	25	3194
8	29	3268
9	32	3249
10	35	3209
11	39	3289
12	43	3311
13	49	3481
14	54	3569
15	59	3640
16	64	3701
17	67	3663
18	70	3650
19	74	3644
20	77	3606
21	80	3572
22	83	3534
23	85	3496
24	89	3471
25	92	3468
26	95	3454
27	99	3449
28	103	3453
29	106	3451
30	109	3423
31	112	3409
32	115	3392
33	119	3391
34	122	3385
35	125	3362
36	128	3342
37	131	3330
38	135	3333
39	138	3331
40	142	3325
41	146	3332
42	149	3318
43	152	3303
44	155	3296
45	159	3308
46	162	3297
47	165	3287
48	168	3270
49	172	3271
50	175	3263
51	178	3256
52	181	3247
53	185	3241
54	188	3243
55	192	3237
56	195	3239
57	199	3240
58	202	3228
59	205	3220
60	208	3215
61	211	3205
62	214	3194
63	218	3193
64	221	3187
65	225	3185
66	228	3186
67	231	3176
68	234	3169
69	238	3168
70	242	3168
71	246	3176
72	251	3196
73	256	3213
74	262	3233
75	265	3229
76	269	3226
77	273	3233
78	276	3226
79	280	3221
80	283	3211
81	287	3214
82	290	3205
83	293	3195
84	296	3187
85	299	3178
86	302	3173
87	306	3175
88	309	3169
89	313	3170
90	316	3164
91	320	3159
92	323	3151
93	327	3152
94	330	3144
95	333	3136
96	336	3137
97	340	3129
98	343	3123
99	346	3120
100	349	3114
101	353	3116
102	358	3122
103	361	3115
104	364	3108
105	368	3107
106	372	3109
107	375	3101
108	379	3106
109	383	3100
110	386	3093
111	389	3090
112	393	3089
113	396	3083
114	400	3083
115	421	3215
116	425	3208
117	428	3201
118	431	3195
119	434	3189
120	438	3185
121	441	3178
122	445	3173
123	448	3168
124	452	3165
125	455	3158
126	481	3309
127	603	4113
128	742	5010
129	756	5063
130	762	5055
131	765	5032
132	768	5008
133	771	4988
134	774	4964
135	778	4943
136	782	4930
137	794	4962
138	853	5287
139	861	5293
140	871	5307
141	876	5297
142	881	5280
143	884	5259
144	889	5244
145	894	5233
146	898	5215
147	902	5193
148	905	5171
149	910	5159
150	914	5143
151	919	5128
152	925	5124
153	930	5112
154	935	5100
155	939	5084
156	943	5067
157	946	5045
158	950	5027
159	954	5011
160	959	4997
161	962	4980
162	967	4968
163	971	4954
164	976	4943
165	981	4931
166	986	4919
167	989	4901
168	993	4884
169	998	4875
170	1003	4864
171	1007	4849
172	1010	4831
173	1014	4814
174	1018	4800
175	1022	4785
176	1025	4767
177	1028	4748
178	1031	4731
179	1035	4716
180	1039	4702
181	1042	4686
182	1045	4668
183	1049	4652
184	1053	4639
185	1058	4630
186	1061	4614
187	1065	4602
188	1070	4593
189	1075	4586
190	1081	4578
191	1087	4577
192	1091	4562
193	1093	4544
194	1097	4531
195	1101	4518
196	1105	4505
197	1109	4493
198	1112	4478
199	1115	4463
200	1119	4448
201	1122	4434
202	1125	4418
203	1128	4405
204	1132	4393
205	1136	4382
206	1140	4370
207	1143	4355
208	1147	4342
209	1150	4329
210	1155	4318
211	1158	4305
212	1161	4290
213	1166	4284
214	1170	4274
215	1173	4259
216	1177	4248
217	1181	4237
218	1186	4229
219	1190	4219
220	1194	4209
221	1197	4196
222	1200	4182
223	1204	4171
224	1207	4159
225	1211	4148
226	1214	4137
227	1219	4127
228	1222	4116
229	1226	4105
230	1230	4095
231	1233	4082
232	1237	4072
233	1240	4060
234	1243	4049
235	1247	4037
236	1250	4027
237	1254	4016
238	1258	4006
239	1262	3999
240	1266	3988
241	1271	3981
242	1274	3970
243	1278	3960
244	1281	3947
245	1285	3939
246	1291	3936
247	1296	3930
248	1300	3921
249	1306	3919
250	1311	3912
251	1315	3904
252	1319	3894
253	1322	3883
254	1326	3875
255	1329	3864
256	1333	3854
257	1337	3845
258	1340	3834
259	1343	3824
260	1346	3812
261	1350	3802
262	1353	3792
263	1356	3783
264	1360	3772
265	1363	3763
266	1368	3756
267	1371	3747
268	1375	3737
269	1379	3729
270	1382	3719
271	1385	3708
272	1388	3698
273	1391	3687
274	1395	3679
275	1399	3670
276	1403	3663
277	1407	3654
278	1410	3644
279	1412	3632
280	1415	3622
281	1419	3614
282	1422	3604
283	1425	3595
284	1429	3586
285	1432	3576
286	1435	3566
287	1439	3558
288	1443	3550
289	1447	3543
290	1452	3538
291	1455	3528
292	1458	3519
293	1462	3511
294	1466	3504
295	1469	3494
296	1472	3485
297	1475	3476
298	1478	3467
299	1483	3460
300	1486	3451
301	1491	3446
302	1494	3438
303	1499	3432
304	1502	3424
305	1506	3417
306	1510	3408
307	1513	3400
308	1516	3391
309	1523	3390
310	1528	3385
311	1533	3382
312	1540	3381
313	1543	3372
314	1548	3366
315	1552	3360
316	1555	3352
317	1559	3344
318	1563	3337
319	1566	3327
320	1569	3319
321	1573	3313
322	1577	3306
323	1582	3301
324	1585	3293
325	1589	3285
326	1592	3277
327	1597	3271
328	1600	3263
329	1602	3254
330	1606	3246
331	1609	3237
332	1613	3232
333	1616	3224
334	1621	3217
335	1625	3211
336	1629	3206
337	1633	3198
338	1637	3192
339	1640	3184
340	1643	3176
341	1647	3168
